Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
ACAI;acai;179;128;5.187385806;['acai_NN'];Source;Source;0.483815777;12.01432248;958.0047952;0.956569544;0.932655305;;;;;;;;;;;;
ACIDIC;acid;367;23108;5.905361848;['acid_JJ', 'acid_NN'];Composition;Abstract;-5.976468526;10.97850201;341.1029461;0.568993953;0.87575591;4.25;;0.823529412;0.941176471;1.176470588;1.823529412;1.705882353;2.705882353;Visual;4.77;4.26;3.26
ACIDIC;acidic;457;1802;6.124683391;['acidic_JJ', 'acidic_NN'];Composition;Abstract;-1.979332941;10.66208791;1700.655533;0.872457394;0.955744915;3.54;;0.222222222;3.444444444;1.555555556;1.388888889;2.5;1.944444444;Gustatory;;;
ACIDIC;acidity;155;1089;5.043425117;['acidity_NN'];Composition;Abstract;-2.812663833;12.22201386;478.5091711;0.826827927;0.898020891;3.4;;0.666666667;3.142857143;1.428571429;1.380952381;1.428571429;2.047619048;Gustatory;;;
ACIDIC;acidy;16;9;2.772588722;['acidy_NN', 'acidy_JJ'];Composition;Abstract;0.830074999;15.49813826;101.7443713;0.959593183;0.752061572;;;;;;;;;;;;
ALMOND;almond;1223;5711;7.109062136;['almond_NN', 'almond_JJ'];Source;Source;-2.223318981;9.241929573;4317.472661;0.856789445;0.985431556;4.71;;0.277777778;4.611111111;3.333333333;0.333333333;2.166666667;4;Gustatory;2.89;6.46;6.05
ALMOND;almonds;36;115;3.583518938;['almonds_NN'];Source;Source;-1.67556505;14.32821326;148.7961341;0.889224849;0.797416163;;;;;;;;;;;;
ALMOND;almondy;11;16;2.397895273;['almondy_JJ', 'almondy_NN'];Source;Source;-0.540568381;16.03870664;42.32166731;0.931006047;0.62424409;;;;;;;;;;;;
AMAZING;amazed;106;9016;4.663439094;['amazed_JJ', 'amazed_NN'];Positive;Evaluative;-6.410351346;12.77021781;65.91353254;0.526663002;0.688840022;1.52;;1.368421053;0.368421053;0.315789474;3.631578947;0.368421053;2.105263158;Interoceptive;5.95;6.11;7.55
AMAZING;amazing;1969;66855;7.585281079;['amazing_JJ', 'amazing_NN'];Positive;Evaluative;-5.085500445;8.554890866;3059.190347;0.653930731;0.97691039;1.55;278.1;3.277777778;2.277777778;2.388888889;3;2.111111111;3.555555556;Visual;6.05;6.83;7.72
ANISE;anise;167;658;5.117993812;['anise_JJ', 'anise_NN'];Source;Source;-1.978239481;12.11443397;611.4718186;0.873007147;0.913963716;;;;;;;;;;;;
APPLE;apple;1223;70442;7.109062136;['apple_NN'];Source;Source;-5.847939562;9.241929573;1249.837711;0.584387026;0.944474986;5;667.7;0.777777778;4.833333333;3.277777778;0.277777778;2.555555556;4.055555556;Gustatory;3.52;6.44;6.62
APPLE;apples;12;551;2.48490665;['apples_NN'];Source;Source;-5.520946008;15.91317576;17.50381877;0.615997801;0.529136888;;;;;;;;;;;;
ARTIFICIAL;artifical;142;64;4.955827058;['artifical_JJ', 'artifical_NN'];Composition;Abstract;1.14974712;12.34839114;822.3662864;0.965915338;0.926882903;;;;;;;;;;;;
ARTIFICIAL;artificial;2916;14597;7.977968093;['artificial_JJ', 'artificial_NN'];Composition;Abstract;-2.32360927;7.988363257;10115.24033;0.852116548;0.994502474;2.93;;1.722222222;1.277777778;2.055555556;1.111111111;0.944444444;3.388888889;Visual;4.17;4.55;3.86
ARTIFICIAL;artificial__#__sweetener;434;342;6.073044534;['artificial__#__sweetener_COLL'];Abstract;Abstract;0.343698718;10.73658703;1848.058026;0.953820781;0.957943925;;;;;;;;;;;;
ASPARTAME;aspartame;137;325;4.919980926;['aspartame_NN', 'aspartame_JJ'];Source;Source;-1.246263825;12.40010618;585.6426774;0.909290819;0.911764706;4.5;;0.142857143;4.714285714;0.5;0.571428571;0.428571429;1.285714286;Gustatory;;;
AUTHENTIC;authentic;582;11164;6.366470448;['authentic_JJ', 'authentic_NN'];Abstract;Abstract;-4.261691066;10.31326292;1231.410633;0.722649808;0.943650357;2.31;321.2;1.352941176;0.705882353;1.823529412;1.235294118;0.529411765;3.529411765;Visual;4.55;6.58;6.91
