Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Categorization;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
AQUATIC;acqua;196;70;5.278114659;['acqua_NN', 'acqua_JJ'];Abstract;Abstract;1.485426827;12.80140318;1073.736941;0.915805223;0.949129489;;;;;;;;;;;;
AQUATIC;acquatic;56;7;4.025351691;['acquatic_JJ', 'acquatic_NN'];Abstract;Abstract;3;14.6087581;375.4186862;0.943960827;0.901931447;;;;;;;;;;;;
ACRID;acrid;196;672;5.278114659;['acrid_JJ', 'acrid_NN'];Abstract;Abstract;-1.777607579;12.80140318;625.9078478;0.821137106;0.928454842;2.68;;0.25;2;0.5;0.416666667;3.416666667;0.416666667;Olfactory;;;
ADDICTIVE;addicted;34;3179;3.526360525;['addicted_JJ'];Effect;Evaluative;-6.54689446;15.32865018;-4.629344276;0.482045702;0.483541893;2.13;312.1;0.944444444;0.722222222;0.444444444;3.5;0.666666667;1.277777778;Interoceptive;4.77;2.84;2.89
ADDICTIVE;addicting;43;127;3.761200116;['addicting_JJ', 'addicting_NN'];Effect;Evaluative;-1.562419932;14.98984827;135.7226057;0.831746464;0.815424374;;;;;;;;;;;;
ADDICTIVE;addiction;15;13330;2.708050201;['addiction_NN'];Effect;Evaluative;-9.795498564;16.50922243;-31.1535612;0.143634385;0.325217628;2.85;;0.9375;0.625;0.3125;3.625;0.375;1.75;Interoceptive;4.48;3.84;3.52
ADDICTIVE;addictive;372;3298;5.918893854;['addictive_JJ', 'addictive_NN'];Effect;Evaluative;-3.148216872;11.87695421;826.9576753;0.755168662;0.938248096;2.22;;0.631578947;0.947368421;0.421052632;3.578947368;0.473684211;1.526315789;Interoceptive;4.82;4.4;3.52
ADEQUATE;adequate;504;16869;6.222576268;['adequate_JJ'];Positive;Evaluative;-5.064806909;11.4388331;446.6147262;0.619695321;0.911452666;1.97;291.2;2;0.058823529;0.647058824;1.588235294;0.058823529;3.058823529;Visual;3.64;6.89;4.7
AFGANO;afgano;52;1;3.951243719;['afgano_NN'];Composition;Abstract;5.700439718;14.7156733;450.6050599;0.993063112;0.912132753;;;;;;;;;;;;
AGARWOOD;agarwood;172;6;5.147494477;['agarwood_NN'];Source;Source;4.841302254;12.98984827;1348.331122;0.985174102;0.955930359;;;;;;;;;;;;
AGREEABLE;agreable;14;8;2.63905733;['agreable_JJ'];Positive;Evaluative;0.807354922;16.6087581;59.43492259;0.902611534;0.718171926;;;;;;;;;;;;
AGREEABLE;agreeable;237;1717;5.468060141;['agreeable_JJ'];Positive;Evaluative;-2.856931075;12.52736977;576.7119492;0.770674646;0.924510337;2.07;;2.736842105;0.210526316;0.368421053;2;0.157894737;2.684210526;Auditory;3.55;6.97;6.9
AIRY;air;854;211521;6.749931194;['air_NN', 'air_JJ'];Abstract;Abstract;-7.952349117;10.67802076;-953.2635585;0.328618063;0.013193689;4.11;264.95;1.684210526;0.368421053;2.789473684;1.368421053;1.842105263;0.684210526;Haptic;3.25;5.72;6.71
AIRY;airy;610;1983;6.413458957;['airy_JJ', 'airy_NN'];Abstract;Abstract;-1.70080353;11.16344759;1954.347452;0.825353645;0.966539717;2.04;;1.388888889;0.388888889;1.888888889;1.444444444;1.055555556;1.5;Haptic;;;
ALLURING;allure;189;2059;5.241747015;['allure_NN'];Effect;Evaluative;-3.44548569;12.8538706;382.9675555;0.737622416;0.903019587;1.92;259.4;1.833333333;0.444444444;1.722222222;2.333333333;1.5;3.611111111;Visual;4.25;5.77;6.9
ALLURING;alluring;325;1347;5.783825182;['alluring_JJ', 'alluring_NN'];Effect;Evaluative;-2.051238228;12.07181711;971.6754098;0.808895539;0.944912949;2.07;;2.9375;1.5625;1.8125;3.25;2.125;4;Visual;4.35;5.86;6.74
ALMONDY;almond;901;5711;6.803505258;['almond_NN', 'almond_JJ'];Source;Source;-2.664144373;10.60072973;2299.625191;0.780875952;0.970484222;4.71;;0.277777778;4.611111111;3.333333333;0.333333333;2.166666667;4;Gustatory;2.89;6.46;6.05
ALMONDY;almondy;71;16;4.262679877;['almondy_NN', 'almondy_JJ'];Source;Source;2.14974712;14.2663659;405.9536052;0.928726877;0.906964091;;;;;;;;;;;;
AMAZING;amazed;44;8957;3.784189634;['amazed_JJ'];Positive;Evaluative;-7.669368272;14.9566814;-42.44450208;0.361262242;0.274075082;1.52;;1.368421053;0.368421053;0.315789474;3.631578947;0.368421053;2.105263158;Interoceptive;5.95;6.11;7.55
AMAZING;amazing;2236;66855;7.712443834;['amazing_JJ', 'amazing_NN'];Positive;Evaluative;-4.902043368;9.289408549;2227.832515;0.632752992;0.970212187;1.55;278.1;3.277777778;2.277777778;2.388888889;3;2.111111111;3.555555556;Visual;6.05;6.83;7.72
AMBER;ambar;12;15;2.48490665;['ambar_JJ', 'ambar_NN'];Source;Source;-0.321928095;16.83115052;58.38211227;0.877448313;0.71585963;;;;;;;;;;;;
AMBER;ambary;17;1;2.833213344;['ambary_JJ'];Source;Source;4.087462841;16.32865018;137.3036477;0.970892274;0.816240479;;;;;;;;;;;;
AMBER;amber;5930;9647;8.687779492;['amber_NN', 'amber_JJ'];Source;Source;-0.702048262;7.882296632;23158.74957;0.863710555;0.9968716;4.35;512.9;0.222222222;0.055555556;1.166666667;0.111111111;0.166666667;4.222222222;Visual;3.36;6.21;6.15
AMBER;ambergris;722;116;6.582025139;['ambergris_NN', 'ambergris_JJ'];Source;Source;2.637874032;10.92025799;4479.64515;0.938112078;0.985038085;;;;;;;;;;;;
AMBER;amberish;25;3;3.218875825;['amberish_JJ', 'amberish_NN'];Source;Source;3.058893689;15.77225683;175.866065;0.945321001;0.841811752;;;;;;;;;;;;
AMBER;ambery;1123;4;7.023758955;['ambery_JJ', 'ambery_NN'];Source;Source;8.133142212;10.28297081;11244.48086;0.999047878;0.993063112;;;;;;;;;;;;
AMBER;ambre;175;30;5.164785974;['ambre_NN', 'ambre_JJ'];Source;Source;2.544320516;12.96490191;1065.140762;0.936615887;0.948585419;;;;;;;;;;;;
AMBER;ambre__#__gris;15;1;2.708050201;['ambre__#__gris_COLL'];Source;Source;3.906890596;16.50922243;67.75868258;0.9664037;0.737486398;;;;;;;;;;;;
AMBRETTE;ambrette;156;5;5.049856007;['ambrette_NN'];Source;Source;4.963474124;13.1307108;1237.726579;0.987486398;0.954434168;;;;;;;;;;;;
ANIMALIC;animalic;2213;2;7.70210434;['animalic_JJ', 'animalic_NN'];Category;Abstract;10.11178774;9.304325286;25255.98727;0.999727965;0.997415669;;;;;;;;;;;;
ANIMALIC;animalistic;221;209;5.398162702;['animalistic_JJ'];Category;Abstract;0.080543427;12.62821046;992.1544016;0.887513602;0.945729053;2.39;;2.555555556;0.277777778;0.833333333;1.5;0.611111111;3.333333333;Visual;;;
ANIMALIC;animallic;26;1;3.258096538;['animallic_JJ'];Category;Abstract;4.700439718;15.7156733;183.6333832;0.982861806;0.846436344;;;;;;;;;;;;
ANISE;anise;844;658;6.738152495;['anise_JJ', 'anise_NN'];Source;Source;0.359155415;10.69501383;3927.336724;0.894314472;0.982725789;;;;;;;;;;;;
ANISE;aniseed;81;18;4.394449155;['aniseed_NN'];Source;Source;2.169925001;14.07626302;489.4818614;0.929134929;0.915261153;;;;;;;;;;;;
ANISE;anisic;133;2;4.890349128;['anisic_JJ', 'anisic_NN'];Source;Source;6.055282436;13.36083059;1159.717011;0.994423286;0.952257889;;;;;;;;;;;;
APPEALING;appeal;207;32908;5.332718793;['appeal_NN', 'appeal_JJ'];Positive;Evaluative;-7.312663771;12.72262606;-138.4688587;0.398531012;0.105277476;1.73;;2.84375;0.59375;0.78125;1.53125;0.59375;2.6875;Auditory;3.57;5.36;6.3
APPEALING;appealing;418;4922;6.035481433;['appealing_JJ', 'appealing_NN'];Positive;Evaluative;-3.55766981;11.70875389;801.7591418;0.730277476;0.937159956;2.17;;2.705882353;2;1.529411765;2.588235294;2.411764706;3.823529412;Visual;;;
APPLE;apple;1398;70442;7.242797923;['apple_NN'];Source;Source;-5.654999605;9.966964376;661.0721638;0.568008705;0.929678999;5;667.7;0.777777778;4.833333333;3.277777778;0.277777778;2.555555556;4.055555556;Gustatory;3.52;6.44;6.62
APRICOT;apricot;383;2278;5.948034989;['apricot_NN', 'apricot_JJ'];Source;Source;-2.57235145;11.83491244;994.5152599;0.785364527;0.945865071;4.97;669.7;0.1875;4.125;3.4375;0.375;2.6875;4;Gustatory;4.29;5.94;5.95
AQUATIC;aqua;310;1483;5.736572297;['aqua_NN', 'aqua_JJ'];Abstract;Abstract;-2.258178477;12.13998862;871.03767;0.798966268;0.940696409;3.66;;1.105263158;1.157894737;1.736842105;0.578947368;0.473684211;2.894736842;Visual;3.6;4.82;6.5
AQUATIC;aquatic;2868;3859;7.961370202;['aquatic_JJ', 'aquatic_NN'];Abstract;Abstract;-0.42818202;8.930283713;11756.95864;0.873911861;0.993199129;3.44;;1.941176471;0.588235294;2.117647059;1;1.176470588;4.235294118;Visual;3.58;4.53;6.8
AQUATIC;aqueous;87;622;4.465908119;['aqueous_JJ'];Abstract;Abstract;-2.837827274;13.97316953;206.2323086;0.771898803;0.857317737;;;;;;;;;;;;
AROMATIC;aromatic;2832;1595;7.948738455;['aromatic_JJ', 'aromatic_NN'];Abstract;Abstract;0.828264841;8.948507472;14077.62256;0.903019587;0.994695321;3.04;;0.111111111;0.833333333;0;0.611111111;4.888888889;0.666666667;Olfactory;;;
AROMATIC;aromatics;47;14;3.850147602;['aromatics_NN'];Abstract;Abstract;1.74723393;14.86152417;252.1973115;0.920837867;0.873367791;;;;;;;;;;;;
ARTEMISIA;artemesia;40;32;3.688879454;['artemesia_NN', 'artemesia_JJ'];Source;Source;0.321928095;15.09418493;193.8903951;0.893498368;0.85187704;;;;;;;;;;;;
ARTEMISIA;artemisia;161;301;5.081404365;['artemisia_NN'];Source;Source;-0.902702799;13.08519614;614.11693;0.857181719;0.926958651;;;;;;;;;;;;
ARTIFICIAL;artifical;26;61;3.258096538;['artifical_JJ'];Composition;Abstract;-1.230297619;15.7156733;84.97241044;0.845756257;0.764553863;;;;;;;;;;;;
ARTIFICIAL;artificial;693;14597;6.541029999;['artificial_JJ', 'artificial_NN'];Composition;Abstract;-4.396672732;10.97940148;935.2984182;0.671926007;0.943552775;2.93;;1.722222222;1.277777778;2.055555556;1.111111111;0.944444444;3.388888889;Visual;4.17;4.55;3.86
ARTIFICIAL;artificiality;18;241;2.890371758;['artificiality_NN'];Composition;Abstract;-3.742964335;16.24618802;28.78190803;0.717899891;0.640369967;2.27;;1.75;1.5;1.9375;0.625;1;3.1875;Visual;;;
ASTRINGENT;astringency;20;42;2.995732274;['astringency_NN'];Abstract;Abstract;-1.070389328;16.09418493;80.32985582;0.851060936;0.756800871;2;;0.933333333;0.6;1.4;0.866666667;1.533333333;1.2;Olfactory;;;
ASTRINGENT;astringent;275;260;5.616771098;['astringent_JJ'];Abstract;Abstract;0.080919995;12.31282521;1214.681803;0.887649619;0.954162133;3.21;;0.357142857;0.071428571;1.857142857;1.142857143;1.785714286;2.428571429;Visual;;;
AURA;aura;324;3838;5.780743516;['aura_NN'];Abstract;Abstract;-3.566288993;12.07626302;626.353993;0.729869423;0.92859086;2.67;;0.166666667;0.111111111;0.222222222;2.166666667;0.111111111;1.722222222;Interoceptive;4.7;5.65;6.45
AURA;aurea;15;98;2.708050201;['aurea_NN'];Abstract;Abstract;-2.707819249;16.50922243;32.71290295;0.778019587;0.65179543;;;;;;;;;;;;
AUTUMNAL;autumn;496;9624;6.206575927;['autumn_NN'];Abstract;Abstract;-4.278224617;11.46191671;711.0718382;0.679134929;0.933351469;3.27;617.1;0.857142857;0.238095238;0.761904762;1;1.904761905;3.904761905;Visual;3.21;5.17;7.12
AUTUMNAL;autumnal;156;470;5.049856007;['autumnal_JJ', 'autumnal_NN'];Abstract;Abstract;-1.591114728;13.1307108;519.886003;0.830522307;0.918933624;;;;;;;;;;;;
BALANCED;balance;518;48442;6.249975242;['balance_NN'];Abstract;Abstract;-6.547162522;11.39930473;-74.74405258;0.481909684;0.179406964;2.89;;0.833333333;0.666666667;1.111111111;2.444444444;0.388888889;2.555555556;Visual;4.13;5.47;6.84
BALANCED;balanced;1105;12841;7.007600614;['balanced_JJ'];Abstract;Abstract;-3.538639283;10.30628237;2148.12972;0.73163765;0.96898803;2.79;;0.444444444;0.555555556;1.277777778;2.5;0.111111111;2.333333333;Interoceptive;;;
