Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Arousal;Dominance;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Valence
ACIDIC;acid;1522;23108;7.327780538;['acid_NN', 'acid_JJ'];Composition;Abstract;-3.924352136;8.894080767;4353.447756;0.637010676;0.958007117;4.25;;4.77;4.26;0.823529412;0.941176471;1.176470588;1.823529412;1.705882353;2.705882353;Visual;3.26
ACIDIC;acidic;650;1802;6.476972363;['acidic_JJ', 'acidic_NN'];Composition;Abstract;-1.471087388;10.1215375;2957.850373;0.790391459;0.939857651;3.54;;;;0.222222222;3.444444444;1.555555556;1.388888889;2.5;1.944444444;Gustatory;
ACIDIC;acidity;8687;1089;9.069582934;['acidity_NN'];Composition;Abstract;2.995854083;6.381191088;66534.32415;0.953024911;0.998932384;3.4;;;;0.666666667;3.142857143;1.428571429;1.380952381;1.428571429;2.047619048;Gustatory;
ALMONDY;almond;1213;5711;7.100851909;['almond_NN', 'almond_JJ'];Source;Source;-2.235163834;9.221469575;4902.484267;0.751245552;0.96227758;4.71;;2.89;6.46;0.277777778;4.611111111;3.333333333;0.333333333;2.166666667;4;Gustatory;6.05
ALMONDY;almondy;29;16;3.36729583;['almondy_JJ', 'almondy_NN'];Source;Source;0.857980995;14.60785241;191.5481039;0.899288256;0.688967972;;;;;;;;;;;;
ANISE;anise;888;658;6.788971743;['anise_NN', 'anise_JJ'];Source;Source;0.432472093;9.671417544;5236.787408;0.880782918;0.965480427;;;;;;;;;;;;
APPLE;apple;6891;70442;8.837971491;['apple_NN'];Source;Source;-3.353650608;6.715335768;22456.008;0.678647687;0.992170819;5;667.7;3.52;6.44;0.777777778;4.833333333;3.277777778;0.277777778;2.555555556;4.055555556;Gustatory;6.62
APPLE;appley;25;11;3.218875825;['appley_NN', 'appley_JJ'];Source;Source;1.184424571;14.82197722;172.9416025;0.911032028;0.675800712;;;;;;;;;;;;
APPLE__#__SKIN;apple__#__skin;347;20;5.84932478;['apple__#__skin_COLL'];Source;Source;4.116863758;11.02704156;1441.104685;0.974377224;0.9;;;;;;;;;;;;
APRICOT;apricot;2524;2278;7.833600224;['apricot_NN', 'apricot_JJ'];Source;Source;0.147944163;8.164337215;14364.88475;0.869039146;0.986120996;4.97;669.7;4.29;5.94;0.1875;4.125;3.4375;0.375;2.6875;4;Gustatory;5.95
AROMATIC;aromatic;741;1595;6.608000625;['aromatic_JJ', 'aromatic_NN'];Abstract;Abstract;-1.106010976;9.932503678;3579.503247;0.809252669;0.949822064;3.04;;;;0.111111111;0.833333333;0;0.611111111;4.888888889;0.666666667;Olfactory;
ASTRINGENT;astringency;160;42;5.075173815;['astringency_NN'];Abstract;Abstract;1.929610672;12.14390532;1121.326445;0.934875445;0.886120996;2;;;;0.933333333;0.6;1.4;0.866666667;1.533333333;1.2;Olfactory;
ASTRINGENT;astringent;528;260;6.269096284;['astringent_JJ'];Abstract;Abstract;1.022026306;10.42143929;3335.119678;0.906405694;0.945907473;3.21;;;;0.357142857;0.071428571;1.857142857;1.142857143;1.785714286;2.428571429;Visual;
ATTRACTIVE;attraction;15;14406;2.708050201;['attraction_NN'];Effect;Evaluative;-9.907491593;15.55894281;-16.68011644;0.160498221;0.230960854;2.24;382.4;5.4;4.62;2.060606061;0.96969697;2.242424242;3.272727273;1.636363636;3.515151515;Visual;7
ATTRACTIVE;attractive;1097;22498;7.00033446;['attractive_JJ'];Effect;Evaluative;-4.358161325;9.3664856;2817.195007;0.603558719;0.936654804;2.64;477.4;4.91;6.81;1.588235294;0.529411765;1.235294118;1.647058824;1.176470588;4.764705882;Visual;7.19
ATTRACTIVE;attractively;16;2;2.772588722;['attractively_JJ'];Effect;Evaluative;3;15.46583341;137.9466995;0.953380783;0.645551601;1.93;;;;0.904761905;0.238095238;0.19047619;0.80952381;0.238095238;4.095238095;Visual;
BACON;bacon;651;12279;6.478509642;['bacon_NN'];Source;Source;-4.237391719;10.11931968;1717.985982;0.611743772;0.910320285;4.9;688.2;4.16;6.11;1.2;4.45;2.7;0.65;4.25;3.9;Gustatory;7.52
BACON;bacon__#__fat;80;185;4.382026635;['bacon__#__fat_COLL'];Source;Source;-1.209453366;13.14390532;181.04708;0.804626335;0.682206406;;;;;;;;;;;;
BACON;bacony;25;9;3.218875825;['bacony_NN'];Source;Source;1.473931188;14.82197722;178.3597113;0.922064057;0.680071174;;;;;;;;;;;;
BAKED;baked;957;3529;6.863803391;['baked_JJ'];Composition;Abstract;-1.8826686;9.563458296;4103.846353;0.770818505;0.955516014;4.19;;;;0.823529412;3.941176471;2.117647059;0.411764706;4.058823529;4;Olfactory;
BAKED;baking;39;5693;3.663561646;['baking_NN'];Composition;Abstract;-7.189571166;14.18043119;22.23082106;0.352669039;0.381850534;4.1;;;;1.1;2.6;1.4;0.45;3.8;3.35;Olfactory;
BAKED__#__APPLE;baked__#__apple;337;85;5.82008293;['baked__#__apple_COLL'];Source;Source;1.987213845;11.06922863;1638.577262;0.935587189;0.907829181;;;;;;;;;;;;
BAKING__#__SPICE;baking__#__spice;342;5;5.834810737;['baking__#__spice_COLL'];Source;Source;6.09592442;11.0479809;1831.699707;0.995373665;0.913523132;;;;;;;;;;;;
BALANCED;balanced;1171;12841;7.065613364;['balanced_JJ'];Abstract;Abstract;-3.454944577;9.27230805;3728.500825;0.673309609;0.951245552;2.79;;;;0.444444444;0.555555556;1.277777778;2.5;0.111111111;2.333333333;Interoceptive;
BALANCED;balancing;20;1905;2.995732274;['balancing_NN'];Abstract;Abstract;-6.573647187;15.14390532;22.61069735;0.403558719;0.382562278;3.17;;;;0.294117647;0.058823529;2;1.235294118;0.235294118;3.647058824;Visual;
BALSAMIC;balsamic;356;1562;5.874930731;['balsamic_JJ', 'balsamic_NN'];Abstract;Abstract;-2.133445307;10.99009998;1469.759114;0.755871886;0.901779359;3.54;;;;0.3125;4.1875;1.125;0.3125;2.875;2.875;Gustatory;
BANANA;banana;696;11539;6.54534966;['banana_NN'];Source;Source;-4.051287085;10.02288991;1937.735783;0.627758007;0.917437722;5;435.9;3.21;6.05;0.157894737;4.473684211;2.210526316;0.157894737;2.473684211;3.894736842;Gustatory;6.71
BERRY;berry;10597;13371;9.268326221;['berry_NN', 'berry_JJ'];Category;Abstract;-0.33545147;6.094465133;56723.16374;0.848042705;0.998220641;4.93;634.3;;;0.111111111;4;2.555555556;0.277777778;2.055555556;3.555555556;Gustatory;
BERRY;wild__#__berry;1174;89;7.068172;['wild__#__berry_COLL'];Category;Abstract;3.721483262;9.268616717;5868.688037;0.967259786;0.969395018;;;;;;;;;;;;
BITTER;bitter;1300;16940;7.170119543;['bitter_JJ', 'bitter_NN'];Abstract;Abstract;-3.703850346;9.121537502;3928.069629;0.65658363;0.954092527;2.93;308.8;4.64;4.58;1.0625;4.25;0.1875;2.1875;1.5625;1;Gustatory;3.63
BITTER;bitterness;439;3692;6.084499413;['bitterness_NN'];Abstract;Abstract;-3.072109708;10.68775628;1509.764993;0.697864769;0.903914591;2.36;;5.1;4.62;0.6;3.8;0;1.8;1.45;0.85;Gustatory;3.15
BLACK__#__CHERRY;black__#__cherry;3996;1;8.29304914;['black__#__cherry_COLL'];Source;Source;11.96434087;7.501492542;27923.28812;0.999644128;0.99430605;;;;;;;;;;;;
BLACK__#__CURRANT;black__#__currant;1822;150;7.507690078;['black__#__currant_COLL'];Source;Source;3.602488553;8.634526166;9724.485027;0.963701068;0.978291815;;;;;;;;;;;;
BLACKBERRY;blackberry;9009;5380;9.105979357;['blackberry_NN', 'blackberry_JJ'];Source;Source;0.743760803;6.32868215;54965.29499;0.893594306;0.997508897;4.97;;3.24;5.45;0;4.25;1.8125;0;1.6875;3.5625;Gustatory;6.63
BLACKBERRY;blackberry__#__jam;462;52;6.135564891;['blackberry__#__jam_COLL'];Source;Source;3.151309323;10.61408437;2511.321865;0.95480427;0.929537367;;;;;;;;;;;;
BLUEBERRY;blueberry;1638;3449;7.401231264;['blueberry_NN'];Source;Source;-1.074242772;8.788113768;7917.67662;0.810320285;0.976512456;4.96;678.1;3.23;5.7;0.052631579;4.421052632;2.894736842;0.157894737;3.421052632;4.105263158;Gustatory;7.11
BODIED;bodied;1451;2277;7.280008253;['bodied_JJ'];Abstract;Abstract;-0.650086772;8.963001606;7438.67069;0.832384342;0.974733096;2.52;;;;0.375;0.5;1.4375;0.75;0.1875;2.1875;Visual;
BOLD;bold;950;15342;6.856461985;['bold_JJ', 'bold_NN'];Abstract;Abstract;-4.013415243;9.574049707;2656.652945;0.63024911;0.933096085;2.43;412.1;4.86;6.39;2;0.882352941;0.705882353;3.470588235;0.470588235;2.882352941;Interoceptive;6.68
BOYSENBERRY;boysenberry;471;97;6.154858094;['boysenberry_NN', 'boysenberry_JJ'];Source;Source;2.279670407;10.58625016;3360.108806;0.942704626;0.946263345;4.75;;3.19;5.8;0.1875;3.4375;2.625;0.375;1.75;3.4375;Visual;5.95
BRAMBLY;brambly;172;3;5.147494477;['brambly_NN', 'brambly_JJ'];Composition;Abstract;5.841302254;12.03956866;1676.167434;0.992882562;0.908896797;;;;;;;;;;;;
